,CV_MSE_mean,CV_MSE_std,CV_R2_mean,CV_R2_std,Test_MSE,Test_R2
Linear Regression,333.919162850586,19.031287056767674,0.22414530166213514,0.029323160360731543,338.90151193824937,0.2549279771977564
Ridge Regression,333.926783743342,19.082802492194663,0.22413996693742338,0.029152030364256523,338.8671491681517,0.2550035234485811
Lasso Regression,356.49472104001495,25.707215020057777,0.1729603436140334,0.01317718510602073,366.10021920185494,0.19513185612824313
Decision Tree Regressor,581.5154578400609,35.25792168168358,-0.35501108526691755,0.11826157611969451,540.0156257993937,-0.1872196508007471
Random Forest,308.2905354305952,15.652082478229381,0.2817292268237018,0.05625702606017573,285.4944095544127,0.3723430267133283
Gradient Boosting,305.9958950604836,14.449961638605027,0.2877312653398164,0.04550760820192446,295.32335113106825,0.3507341842486237
XGBoost,355.7015280747784,12.26838430963767,0.1690353016628248,0.08354871064753777,343.8303124813586,0.2440920521243024
Random Forest (Optimized),301.4429895344729,14.337028098450837,0.29782826735454,0.051817642105887476,283.3624423188791,0.3770301381152289
